Nation:,Type / Application:,Operator:,Contractors:,Equipment:,Configuration:,Propulsion:,Power:,Lifetime:,Mass:,Orbit:,titulo
USA,Altimetry,US Navy,Johns Hopkins University Applied Physics Laboratory (APL),,,?,"8 deployable fixed solar arrays, batteries",3 years (design); 5 years (achieved),635 kg,"757 km × 814 km, 108.1°",Geosat
India,Technology,ISRO,ISRO,,,,"Solar cells, batteries",,35 kg,"305 km × 919 km, 44.7°","RTP, RS 1 (Rohini 1A, 1B)"
India,Technology,ISRO,ISRO,,,,"Solar cells, batteries",,35 kg,"305 km × 919 km, 44.7°","RTP, RS 1 (Rohini 1A, 1B)"
India,"Technology, earth observation",ISRO,ISRO,,,,"Solar cells, batteries",9 days (#D1); 1.5 years (#D2),38 kg (#D1); 41.5 kg (#D2),"186 km × 418 km, 46° (#D1); 371 km × 861 km, 46°","RS D1, D2 (Rohini 2, 3)"
India,"Technology, earth observation",ISRO,ISRO,,,,"Solar cells, batteries",9 days (#D1); 1.5 years (#D2),38 kg (#D1); 41.5 kg (#D2),"186 km × 418 km, 46° (#D1); 371 km × 861 km, 46°","RS D1, D2 (Rohini 2, 3)"
USA,Research,"NASA, USGS",Johns Hopkins University Applied Physics Laboratory (APL),,,?,"4 deployable solar arrays, batteries",,181 kg,"347 km × 541 km, 96.7°","Magsat (AEM 3, Explorer 61)"
USA,Navigation,US Navy,RCA,?,"Transit-Bus, Gravity Stabilized",Pulsed plasma thrusters,"4 deployable fixed solar arrays, batteries",,170 kg,"1165 km × 1189 km, 90.07° (#1); 1155 km × 1199 km, 90.01° (#2); 1153 km × 1202 km, 90.05° (#3)",Nova (NNS)
USA,Experimental,US Air Force (USAF) STP (Space Test Program),JHU/APL,see above,Transit-Bus,?,"4 deployable solar arrays, batteries",,248 kg,"828 km × 830 km, 82.2°",HILAT (P83-1)
USA,Navigation,US Navy,RCA,?,"Transit-Bus, Gravity Stabilized",Pulsed plasma thrusters,"4 deployable fixed solar arrays, batteries",,170 kg,"1165 km × 1189 km, 90.07° (#1); 1155 km × 1199 km, 90.01° (#2); 1153 km × 1202 km, 90.05° (#3)",Nova (NNS)
USA,Navigation,USN,"Naval Avionics Facility (#1-3, 5, 7); Johns Hopkins University Applied Physics Laboratory (APL) (#4, 6, 8-17); RCA (#18 - 32)",?,"Transit-Bus, Gravity Stabilized",?,"4 deployable fixed solar arrays, batteries",,,,"Transit-O (NNS, Oscar)"
USA,ASAT target,US Air Force (USAF),AVCO corporation,"Inflatable balloon, miss distance indicator",,None,Batteries,,82 kg,"319 km × 768 km, 37.05°","ITV 1, 2"
USA,Experimental,US Air Force (USAF) STP (Space Test Program),JHU/APL,"Auroral Imaging Remote Sensor, Beacon Experiment",Transit-Bus,?,"4 deployable solar arrays, batteries",,125 kg,"955 km × 1013 km, 89.6°",Polar Bear (P87-1)
USA,Navigation,USN,"Naval Avionics Facility (#1-3, 5, 7); Johns Hopkins University Applied Physics Laboratory (APL) (#4, 6, 8-17); RCA (#18 - 32)",?,"Transit-Bus, Gravity Stabilized",?,"4 deployable fixed solar arrays, batteries",,,,"Transit-O (NNS, Oscar)"
Italy,Atmospheric research,ASI,,"DBI, WATI, IVI, ASSI, EFI",,None,"Solar cells, batteries",1.5 years,273 kg,"263 km × 615 km, 3°",San Marco 5 (D/L)
USA,Navigation,USN,"Naval Avionics Facility (#1-3, 5, 7); Johns Hopkins University Applied Physics Laboratory (APL) (#4, 6, 8-17); RCA (#18 - 32)",?,"Transit-Bus, Gravity Stabilized",?,"4 deployable fixed solar arrays, batteries",,,,"Transit-O (NNS, Oscar)"
USA,Navigation,US Navy,RCA,?,"Transit-Bus, Gravity Stabilized",Pulsed plasma thrusters,"4 deployable fixed solar arrays, batteries",,170 kg,"1165 km × 1189 km, 90.07° (#1); 1155 km × 1199 km, 90.01° (#2); 1153 km × 1202 km, 90.05° (#3)",Nova (NNS)
USA,Navigation,USN,"Naval Avionics Facility (#1-3, 5, 7); Johns Hopkins University Applied Physics Laboratory (APL) (#4, 6, 8-17); RCA (#18 - 32)",?,"Transit-Bus, Gravity Stabilized",?,"4 deployable fixed solar arrays, batteries",,,,"Transit-O (NNS, Oscar)"
USA,Experimental communication (store and forward),DARPA,DSI,2 UHF transponders digital store and forward communications system,MAESTRO Bus,None,"Solar cells, batteries",3 years (design),68 kg,"613 km × 739 km, 90°","MACSAT 1, 2"
USA,Experimental,US Air Force (USAF) STP (Space Test Program),"DSI (#1), CTA (#2)",?,GemStar Bus,?,"4 deployable fixed solar arrays, batteries",,"86 kg (#1), 110 kg (#2)","770 × 871 km, 89.6° (#1), 803 × 832 km, 89.96° (#2)","REX (P89-1A, P94-2)"
USA,"Research, magnetosphere",NASA,NASA Goddard Space Flight Center,"HILT, LEICA, MAST, PET","Box, 2 solar panels, 3-axis control",?,"2 deployable fixed solar arrays, batteries",3 years (design),158 kg,"520 km × 670 km, 81.67°","SAMPEX (SMEX 1, Explorer 68)"
USA,Research,SDIO,Spectrum Astro,?,SA-200S,?,"Solar cells, batteries","6 days (design), 150 days reached",150 kg,"289 km × 366 km, 96.7°",MSTI 1
USA,Radar calibration,US Air Force (USAF) STP (Space Test Program),DSI,"2 C-Band transponders, GPS receiver",octagonal prism with gravity gradient boom,?,"Solar cells, batteries",3 years (design),96 kg,"765 km × 884 km, 89.5°",RadCal (P92-1)
USA,Research,US Air Force (USAF) (ex BMDO ex SDIO),Spectrum Astro,?,SA-200S,?,"Solar cells, batteries","6 months (design), 5 months reached",163 kg,"355 km × 455 km later raised to 415 km × 433 km, 93.1°",MSTI 2
Europe,Vehicle evaluation,,"Aeritalia, Selenia, Labem",,,None,Batteries,6 days,,"182 km × 35824 km, 17.63° (#1); 221 km × 35700 km, 10.23° (#3); 216 km × 35716 km, 10.38° (#4)","CAT 1, 2, 3, 4"
Germany,Research,,,?,,None,Batteries,2 days,1080 kg (total); 880 kg (without subsatellites),,Firewheel (Feuerrad)
"Germany, USA",Research,,,?,,?,Batteries,,"49 kg (#1), 48 kg (#2), 50 kg (#3), 53 kg (#4)",,"Firewheel Subsats 1, 2, 3, 4"
Germany,Amateur radio communication,"AMSAT-DL (#P3A, #P3B, #P3C, #P3E); AMSAT-NA (#P3A)",AMSAT-DL,,,"Star-13C (#A), S400 (#B, C)","Solar cells, batteries",,140 kg (#P3B); 150 kg (#P3B); 150 kg (#P3E),"4000 km × 35450 km, 26.6° (#P3B); 2545 km × 36265 km, 57.4° (#P3C)","AMSAT P3A, P3B, P3C, P3E (Phase 3A, 3B, 3C, 3E / AO 10, 13 / AMSAT-OSCAR 10, 13)"
Europe,Vehicle evaluation,,"Aeritalia, Selenia, Labem",,,None,Batteries,6 days,,"182 km × 35824 km, 17.63° (#1); 221 km × 35700 km, 10.23° (#3); 216 km × 35716 km, 10.38° (#4)","CAT 1, 2, 3, 4"
Europe,Meteorology,ESA → EUMETSAT,Aerospatiale,?,,"SVM-6A (#1), Mage-1 (#2 - #7) ejectable","Solar cells (body mounted), batteries",,,GEO,"Meteosat 1, 2, 3, 4, 5, 6, 7"
India,Experimental communications,ISRO,ISRO,1 C-band transponder,,S-0.26,"2 deployable solar arrays, batteries",2 years,670 kg (350 kg BOL),GEO,Apple
Europe,Vehicle evaluation,,"Aeritalia, Selenia, Labem",,,None,Batteries,6 days,,"182 km × 35824 km, 17.63° (#1); 221 km × 35700 km, 10.23° (#3); 216 km × 35716 km, 10.38° (#4)","CAT 1, 2, 3, 4"
International,Communication,Inmarsat,British Aerospace BAe (prime),"1 (+1) L-band, 1 (+1) C-band",ECS-Bus,"Star-30B (#A, #B), Mage-2 (#B2)","2 deployable solar arrays, batteries",7 years,1060 kg,GEO,"MARECS A, B, B2"
Europe,Vehicle evaluation,,"Aeritalia, Selenia, Labem",,,None,Batteries,6 days,,"182 km × 35824 km, 17.63° (#1); 221 km × 35700 km, 10.23° (#3); 216 km × 35716 km, 10.38° (#4)","CAT 1, 2, 3, 4"
International,Communication,Inmarsat,British Aerospace BAe (prime),"1 (+1) L-band, 1 (+1) C-band",ECS-Bus,"Star-30B (#A, #B), Mage-2 (#B2)","2 deployable solar arrays, batteries",7 years,1060 kg,GEO,"MARECS A, B, B2"
Italy,Communication,,Compagnia Nazionale Satelliti per Telecommunicaziono SpA,?,,?,"Solar cells, batteries",2 years,,GEO,"Sirio 1, 2"
International,Communication,ESA / Eutelsat,British Aerospace BAe (prime),10 (+2) Ku-band transponders (#1); 12 (+2) Ku-band transponders (# 2-5),ECS-Bus,Mage-2,"2 deployable solar arrays, batteries",7 years,1158 kg,GEO,"ECS 1, 2, 3, 4, 5 (Eutelsat-1 F1, 2, 4, 5)"
Germany,Amateur radio communication,"AMSAT-DL (#P3A, #P3B, #P3C, #P3E); AMSAT-NA (#P3A)",AMSAT-DL,,,"Star-13C (#A), S400 (#B, C)","Solar cells, batteries",,140 kg (#P3B); 150 kg (#P3B); 150 kg (#P3E),"4000 km × 35450 km, 26.6° (#P3B); 2545 km × 36265 km, 57.4° (#P3C)","AMSAT P3A, P3B, P3C, P3E (Phase 3A, 3B, 3C, 3E / AO 10, 13 / AMSAT-OSCAR 10, 13)"
International,Communication,Intelsat,Ford Aerospace,"21 C-band transponders, 4 Ku-band transponders",Intelsat-5 bus,"Star-37F (#1 - #5), Star-37XF (#6 - #9)","2 deployable solar arrays, batteries",7 years,1928 kg (launch); 1012 kg (BOL),GEO,Intelsat-5
International,Communication,Intelsat,Ford Aerospace,"21 C-band transponders, 4 Ku-band transponders",Intelsat-5 bus,"Star-37F (#1 - #5), Star-37XF (#6 - #9)","2 deployable solar arrays, batteries",7 years,1928 kg (launch); 1012 kg (BOL),GEO,Intelsat-5
USA,Communication,GTE,RCA Astro,"18 (+3) C-band, 6 (+1) Ku-band transponders",AS-3000,"Star-30B (#1), Star-30BP (#2, 3), Star-30C
    (#3R)","2 deployable solar arrays, batteries",,1195 kg (692 kg BOL),GEO,"Spacenet 1, 2, 3, 3R / ZX 5, 5R (ChinaSat 5, 5R)"
International,Comet flyby,ESA,British Aerospace BAe (prime),,,Mage-1S,"Solar cells, batteries",,960 kg,solar orbit,Giotto
France,Earth observation,Spot Image (EADS Astrium),?,2 HRV imager,SPOT Mk.1,?,"Deployable solar array, batteries",3 years (design),,"824 km × 826 km, 98.73° (#1); 824 km × 825 km, 98.72° (#2); 824 km × 826 km, 98.74° (#3)","SPOT 1, 2, 3"
Sweden,"Science, magnetosphere",SSC,"SAAB (prime), Boeing (bus)",,"spin stabilzed, load bearing structure",Star-26C,"Solar cells, batteries",,520 kg; 286 kg (dry),"814 km × 13530 km, 98.6°",Viking
USA,Solar observatory,NASA,Fairchild,"GRS, ACRIM-1, CP, HXRBS, HXIS, UVSP, XRP",MMS,,"2 deployable solar arrays, batteries",,2268 kg,"566 km × 569 km, 28.5°",SMM (Solarmax)
"USA, UK, Netherlands","Astronomy, Infra-Red",NASA,"Ball Aerospace, Fokker Space, Hollandse Signaal","0.6 m Ritchey-Chretien IR telescope, cryostat",,None,"Solar cells, batteries",10 months,1073 kg,"884 km × 903 km, 99.0°",IRAS
USA,Research,NASA Lewis Research Center,NASA Lewis Research Center,,Experiments on Delta second stage,None in orbit,Batteries,,34 kg (experiment only) (#1); 45 kg (experiment only) (#2),"668 km × 875 km, 98.6° (#1); 855 km × 887 km 100.0°","PIX 1, 2"
USA,SDI Experiments,SDIO,,,Instruments on Delta 2nd stage,?,Batteries,2 days,1800 kg (payload module only),"287 km × 314 km, 30.74°",TVE (Delta-181)
Japan,Technology,ISAS,,,,,"42 deployable fixed solar arrays, batteries",,134 kg,"517 km × 672 km, 38.7°",MS T4 (Tansei 4)
Japan,"Astronomy, X-Ray",ISAS,,,,,"4 deployable fixed solar arrays, batteries",,188 kg,"548 km × 603 km, 31.3°",Astro A (Hinotori)
Japan,"Astronomy, X-Ray",ISAS,,see above,,,"4 deployable fixed solar arrays, batteries",,216 kg,"489 km × 503 km, 31.5°",Astro B (Tenma)
Japan,"Research, upper atmosphere, plasma",ISAS,,,,,"4 deployable fixed solar arrays, batteries",,210 kg,"354 km × 865 km, 74.6°",Exos C (Ohzora)
USA,Communication,Satellite Business Systems,Hughes,14 K-band transponders,HS-376,"Star-30B (#1 - #4), Star-30BP (#5)","Solar cells (body mounted and drop-skirt), batteries",7 years,1117 kg (540 kg BOL),GEO,"SBS 1, 2, 3, 4, 5 / HGS 5"
USA,Communication,Satellite Business Systems,Hughes,14 K-band transponders,HS-376,"Star-30B (#1 - #4), Star-30BP (#5)","Solar cells (body mounted and drop-skirt), batteries",7 years,1117 kg (540 kg BOL),GEO,"SBS 1, 2, 3, 4, 5 / HGS 5"
USA,Communication,RCA Americom,RCA Astro,24 C-band transponders,AS-3000,"SVM-7 (#1, 2, 3); Star-30B (3R, 4)","2 deployable solar arrays, batteries","7 years (#1, 2); 8 years (#3, 3R, 4)","868 kg, 465 kg (BOL) (#1, 2)",GEO,"Satcom 1, 2, 3, 3R, 4"
USA,Communication,RCA Americom,RCA Astro,24 C-band transponders,AS-3000,"SVM-7 (#1, 2, 3); Star-30B (3R, 4)","2 deployable solar arrays, batteries","7 years (#1, 2); 8 years (#3, 3R, 4)","868 kg, 465 kg (BOL) (#1, 2)",GEO,"Satcom 1, 2, 3, 3R, 4"
USA,Communication,"Western Union → Hughes Communications, Inc., (HCI)",Hughes,24 C-band transponders,HS-376,Star-30B,"Solar cells (body mounted and drop-skirt), batteries",,"1100 kg (582 kg BOL) (#4, 5), 1244 kg (582 kg BOL) (#6)",GEO,"Westar 4, 5, 6"
India,Communication / Meteorology,Insat,Ford Aerospace,"12 C-band transponder, 2+1 S-band transponders",Insat-1 Bus,R-4D-11,"Deployable solar array, batteries",7 years,"1152 kg (#1A, 1B); 1190 kg (#1C, 1D)",GEO,"Insat 1A, 1B, 1C, 1D"
USA,Communication,"Western Union → Hughes Communications, Inc., (HCI)",Hughes,24 C-band transponders,HS-376,Star-30B,"Solar cells (body mounted and drop-skirt), batteries",,"1100 kg (582 kg BOL) (#4, 5), 1244 kg (582 kg BOL) (#6)",GEO,"Westar 4, 5, 6"
Japan,Technology,NASDA,Mitsubishi Electric (MELCO),,,,"Solar cells, batteries",,640 kg,"223 km × 35824 km, 28.6°",ETS 4 (Kiku 3)
Japan,Meteorology,NASDA,Hughes,?,HS-378 ,Star-27,"Solar cells (body mounted), batteries",,,GEO,"GMS 2, 3, 4, 5 (Himawari 2, 3, 4, 5)"
Japan,Communication,"NASDA, later TSCJ",Mitsubishi Electric (MELCO) (prime); Ford Aerospace (bus),4 Ka-band (30/20 GHz) transponders,,Star-27B,"Solar cells, batteries",,350 kg,GEO,"CS 2a, 2b (Sakura 2a, 2b)"
Japan,Communication,"NASDA, later TSCJ",Mitsubishi Electric (MELCO) (prime); Ford Aerospace (bus),4 Ka-band (30/20 GHz) transponders,,Star-27B,"Solar cells, batteries",,350 kg,GEO,"CS 2a, 2b (Sakura 2a, 2b)"
Japan,Communication,"Japanese Ministry of Posts and Telecommunications, Japan Broadcasting Corporation (NHK)",RCA Astro,"2 (+1) Ku-band transponders 100W TWTA, 27 MHz bandwidth EIRP max 54 dBW",AS-3000 ?,Star-27,"2 deployable solar arrays, batteries",3 years (#1),,GEO,"BSE, BS 2a, 2b (Yuri 1, 2a, 2b)"
Japan,Meteorology,NASDA,Hughes,?,HS-378 ,Star-27,"Solar cells (body mounted), batteries",,,GEO,"GMS 2, 3, 4, 5 (Himawari 2, 3, 4, 5)"
Japan,Communication,"Japanese Ministry of Posts and Telecommunications, Japan Broadcasting Corporation (NHK)",RCA Astro,"2 (+1) Ku-band transponders 100W TWTA, 27 MHz bandwidth EIRP max 54 dBW",AS-3000 ?,Star-27,"2 deployable solar arrays, batteries",3 years (#1),,GEO,"BSE, BS 2a, 2b (Yuri 1, 2a, 2b)"
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,Communication,Satellite Business Systems,Hughes,14 K-band transponders,HS-376,"Star-30B (#1 - #4), Star-30BP (#5)","Solar cells (body mounted and drop-skirt), batteries",7 years,1117 kg (540 kg BOL),GEO,"SBS 1, 2, 3, 4, 5 / HGS 5"
Canada,Communication,Telesat Canada,Hughes,16 (+ 4) Ku-band transponders,HS-376,Star-30B,"Solar cells (body mounted and drop-skirt), batteries",10 years,1140 kg (563 kg BOL),GEO,"Anik C 1, 2, 3 / Nahuel I1, I2 / Brasil 1T"
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,"Communication, data relay",NASA,TRW,"4 (+2) 25W Ku-band TWTAs for LP (linearly polarized) zone coverage
    2 (+2) 1.5W Ku-band TWTAs for CP (circularly polarized) spot coverage 
    2 (+4) 25W Ku-band TWTAs for LP zone coverage
    2 (+2) 1.5W Ku-band TWTAs for CP spot coverage 
    12 5W TWTAs for LP C-Band up/down
    2 (+2) 26W S-band SSPAs (used for intersatellite links) 
    8 (+4) 3.5W S-band SSPAs (used for intersatellite links)",,?,"2 deployable solar arrays, batteries",10 years (design),2268 kg,GEO,"TDRS 1, 2, 3, 4, 5, 6 (TDRS A, B, C, D, E, F)"
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
Canada,Communication,Telesat Canada,Hughes,16 (+ 4) Ku-band transponders,HS-376,Star-30B,"Solar cells (body mounted and drop-skirt), batteries",10 years,1140 kg (563 kg BOL),GEO,"Anik C 1, 2, 3 / Nahuel I1, I2 / Brasil 1T"
Indonesia,Communication,Telkom,Hughes,24 C-band transponders,HS-376,"Star-30B (#B1, B2), Star-30BP (#B2P, B2R, B4)","Solar cells (body mounted and drop-skirt), batteries",,1200 kg (692 kg BOL),GEO,"Palapa B1, B2, B2P, B2R, B4 / Palapa Pacific / Agila 1 / NewSat 1"
Germany,retrievable satellite,,MBB,,SPAS-Platform,,Batteries,,1448 kg (#01A),"291 km × 296 km, 28.46° (#01); 305 km × 322 km, 28.47° (#01A, attached)",SPAS 01
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
India,Communication / Meteorology,Insat,Ford Aerospace,"12 C-band transponder, 2+1 S-band transponders",Insat-1 Bus,R-4D-11,"Deployable solar array, batteries",7 years,"1152 kg (#1A, 1B); 1190 kg (#1C, 1D)",GEO,"Insat 1A, 1B, 1C, 1D"
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,Communication,"Western Union → Hughes Communications, Inc., (HCI)",Hughes,24 C-band transponders,HS-376,Star-30B,"Solar cells (body mounted and drop-skirt), batteries",,"1100 kg (582 kg BOL) (#4, 5), 1244 kg (582 kg BOL) (#6)",GEO,"Westar 4, 5, 6"
Indonesia,Communication,Telkom,Hughes,24 C-band transponders,HS-376,"Star-30B (#B1, B2), Star-30BP (#B2P, B2R, B4)","Solar cells (body mounted and drop-skirt), batteries",,1200 kg (692 kg BOL),GEO,"Palapa B1, B2, B2P, B2R, B4 / Palapa Pacific / Agila 1 / NewSat 1"
USA,Rendezvous target,NASA,,None,Balloon,None,Batteries,,,"269 km × 283 km, 28.46°",IRT
Germany,retrievable satellite,,MBB,,SPAS-Platform,,Batteries,,1448 kg (#01A),"291 km × 296 km, 28.46° (#01); 305 km × 322 km, 28.47° (#01A, attached)",SPAS 01
USA,,NASA,,,,cold gas thrusters,Batteries,,,,MMU
USA,,NASA,,,,cold gas thrusters,Batteries,,,,MMU
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,Micro gravity (Shuttle retrievable),NASA,,86 Experiment trays,12 sided prism,None,None,,3625 kg,"344 km × 348 km, 28.5°",LDEF
USA,,NASA,,,,cold gas thrusters,Batteries,,,,MMU
USA,,NASA,,,,cold gas thrusters,Batteries,,,,MMU
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,Communication,Satellite Business Systems,Hughes,14 K-band transponders,HS-376,"Star-30B (#1 - #4), Star-30BP (#5)","Solar cells (body mounted and drop-skirt), batteries",7 years,1117 kg (540 kg BOL),GEO,"SBS 1, 2, 3, 4, 5 / HGS 5"
USA,Communication,AT&T → Loral Skynet,Hughes,24 C-band transponders,HS-376,Star-30B,"Solar cells (body mounted and drop-skirt), batteries",10 years,1140 kg (653 kg BOL),GEO,"Telstar 301, 302, 303 / Arabsat 1E"
USA,Communication,HCI (for US Navy),Hughes,13 UHF transponders,HS-381,2 × R-4D-10,"Solar cells, batteries",12 years,"3400 kg (launch, without PKM), 1388 kg (BOL)",GEO,"Leasat 1, 2, 3, 4, 5 (Syncom-4 1, 2, 3, 4, 5)"
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,Earth observation,NASA,Ball Aerospace,"SAGE-II, ERBE",?,"Hydrazine propulsion system, ACS","2 deployable solar arrays, batteries",2 years (design); +21 years (achieved),2307 kg,"610 km × 610 km, 57°",ERBS
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
Canada,Communication,Telesat Canada,Hughes,24 C-band transponders,HS-376,Star-30B,"Solar cells (body mounted and drop-skirt), batteries",10 years,1140 kg (634 kg BOL),GEO,"Anik D 1, 2 / Satcom 4R / Arabsat 1DR"
USA,Communication,HCI (for US Navy),Hughes,13 UHF transponders,HS-381,2 × R-4D-10,"Solar cells, batteries",12 years,"3400 kg (launch, without PKM), 1388 kg (BOL)",GEO,"Leasat 1, 2, 3, 4, 5 (Syncom-4 1, 2, 3, 4, 5)"
USA,,NASA,,,,cold gas thrusters,Batteries,,,,MMU
USA,,NASA,,,,cold gas thrusters,Batteries,,,,MMU
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,"SIGINT, ELINT, COMINT","NRO, CIA",TRW,?,"~ 100 m Ø Dish Antenna, 3-Axis-Stabilization",?,"Solar arrays, batteries",+20 years (achieved),~2200 to 2700 kg,GEO,"Orion 1, 2 (Magnum 1, 2)"
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
Canada,Communication,Telesat Canada,Hughes,16 (+ 4) Ku-band transponders,HS-376,Star-30B,"Solar cells (body mounted and drop-skirt), batteries",10 years,1140 kg (563 kg BOL),GEO,"Anik C 1, 2, 3 / Nahuel I1, I2 / Brasil 1T"
USA,Communication,HCI (for US Navy),Hughes,13 UHF transponders,HS-381,2 × R-4D-10,"Solar cells, batteries",12 years,"3400 kg (launch, without PKM), 1388 kg (BOL)",GEO,"Leasat 1, 2, 3, 4, 5 (Syncom-4 1, 2, 3, 4, 5)"
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,Technology,"Weber State University, Utah State University","Weber State University, Utah State University",,,None,"Solar cells, batteries",,55 kg,"339 km × 355 km, 56.99°",Nusat
USA,Experimental communication,"DARPA, USAF STP (Space Test Program)","DSI, Rockwell",2 UHF transponders digital store and forward communications system,"GLOMR Bus (62-sided polyhedron, unstabilized, body mounted solar cells)",None,"Solar cells, batteries",14 months,52 kg,"317 km × 332 km, 57.0°",GLOMR (S85-6)
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
Mexico,Communication,,Hughes,"18 (+6) C-band transponders, 4 (+2) Ku-band transponders",HS-376,Star-30BP,"Solar cells (body mounted and drop-skirt), batteries",9 years,1140 kg (647 kg BOL),GEO,"Morelos 1, 2"
USA,Communication,AT&T → Loral Skynet,Hughes,24 C-band transponders,HS-376,Star-30B,"Solar cells (body mounted and drop-skirt), batteries",10 years,1140 kg (653 kg BOL),GEO,"Telstar 301, 302, 303 / Arabsat 1E"
Saudi Arabia,Communication,Arabsat,"Aerospatiale, MBB","25 C-band transponders, 2 S-band transponders",Spacebus-1000,"R-4D-11 (#1A, 1B); S400 (#1C)","2 deployable solar arrays, batteries",7 years,"1170 kg (#1A), 1270 kg (#1B), 1360 kg (#1A),",GEO,"Arabsat 1A, 1B, 1C / Insat 2DT"
USA,X-Ray Astronomy (Shuttle retrievable),NASA Goddard,,?,Spartan-100,?,Batteries,,1100 kg,"296 km × 296 km, 28.5°",Spartan 101
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,Technology,NASA,,,,,Batteries,,285 kg,"312 km × 321 km, 49.5°",PDP
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,Communication,HCI (for US Navy),Hughes,13 UHF transponders,HS-381,2 × R-4D-10,"Solar cells, batteries",12 years,"3400 kg (launch, without PKM), 1388 kg (BOL)",GEO,"Leasat 1, 2, 3, 4, 5 (Syncom-4 1, 2, 3, 4, 5)"
Australia,Communication,"USSAT Pty., Ltd. → Optus Communications Pty., Ltd.",Hughes,15 Ku-band transponders operating at 14/12 GHz,HS-376,Star-30BP,"Solar cells (body mounted and drop-skirt), batteries",7 years,1250 kg (654 kg BOL),GEO,"Aussat A1, A2, A3 / Optus A1, A2, A3"
USA,Communication,Contel → GTE,RCA Astro → GE Astro,"18 C-band, 6 Ku-band transponders",AS-3000,Star-30C,"2 deployable solar arrays, batteries",10 years,"1150 kg (#1), 1350 kg (#2)",GEO,"ASC 1, 2 / Spacenet 4"
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,Communication,US Air Force (USAF),Lockheed Martin,"6 SHF transponders, 1 special purpose transponder (SHF and UHF)","DSCS-3 Bus, 3-Axis stabilization",?,"2 deployable solar arrays, batteries",10 years,1235 kg (2733 kg including IABS stage),GEO,DSCS-3
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
USA,Experimental communication,"DARPA, USAF STP (Space Test Program)","DSI, Rockwell",2 UHF transponders digital store and forward communications system,"GLOMR Bus (62-sided polyhedron, unstabilized, body mounted solar cells)",None,"Solar cells, batteries",14 months,52 kg,"317 km × 332 km, 57.0°",GLOMR (S85-6)
USA,Crewed Spacecraft,NASA,Rockwell,,Winged orbiter,2 × OME (AJ10-190),"Fuel cells, batteries",,,,Shuttle
